Date	Segment	Country	Product	Discount Band	Units Sold	Manufacturing Price	Sale Price	Gross Sales	Discount Price	Net Sales	COGS	Profit	Discount Number	Discount %
43101	Channel Partners	United States of America	Carretera	High	386	3	12	4632	463.2	4168.8	1158	3010.8	0.1	0.1
43102	Government	United States of America	Montana	High	2328	5	7	16296	1629.6	14666.4	11640	3026.4	0.1	0.1
43103	Channel Partners	United States of America	Paseo	High	386	3	12	4632	463.2	4168.8	1158	3010.8	0.1	0.1
43104	Enterprise	United States of America	Carretera	High	3445.5	120	125	430687.5	43068.75	387618.75	413460	-25841.25	0.1	0.1
43105	Enterprise	France	Carretera	High	1482	120	125	185250	18525	166725	177840	-11115	0.1	0.1
43106	Government	United States of America	Montana	High	2313	260	350	809550	80955	728595	601380	127215	0.1	0.1
43107	Enterprise	United States of America	Montana	High	1804	120	125	225500	22550	202950	216480	-13530	0.1	0.1
43108	Midmarket	France	Montana	High	2072	10	15	31080	3108	27972	20720	7252	0.1	0.1
43109	Government	France	Paseo	High	1954	10	20	39080	3908	35172	19540	15632	0.1	0.1
43110	Small Business	Mexico	Paseo	High	591	250	300	177300	17730	159570	147750	11820	0.1	0.1
43111	Midmarket	France	Paseo	High	2167	10	15	32505	3250.5	29254.5	21670	7584.5	0.1	0.1
43112	Government	Germany	Paseo	High	241	10	20	4820	482	4338	2410	1928	0.1	0.1
43113	Midmarket	Germany	Velo	High	681	10	15	10215	1021.5	9193.5	6810	2383.5	0.1	0.1
43114	Midmarket	Germany	Velo	High	510	10	15	7650	765	6885	5100	1785	0.1	0.1
43115	Midmarket	United States of America	Velo	High	790	10	15	11850	1185	10665	7900	2765	0.1	0.1
43116	Government	France	Velo	High	639	260	350	223650	22365	201285	166140	35145	0.1	0.1
43117	Enterprise	United States of America	Velo	High	1596	120	125	199500	19950	179550	191520	-11970	0.1	0.1
43118	Small Business	United States of America	Velo	High	2294	250	300	688200	68820	619380	573500	45880	0.1	0.1
43119	Government	Germany	Velo	High	241	10	20	4820	482	4338	2410	1928	0.1	0.1
43120	Government	Germany	Velo	High	2665	5	7	18655	1865.5	16789.5	13325	3464.5	0.1	0.1
43121	Enterprise	Canada	Velo	High	1916	120	125	239500	23950	215550	229920	-14370	0.1	0.1
43122	Small Business	France	Velo	High	853	250	300	255900	25590	230310	213250	17060	0.1	0.1
43123	Enterprise	Mexico	VTT	High	341	120	125	42625	4262.5	38362.5	40920	-2557.5	0.1	0.1
43124	Midmarket	Mexico	VTT	High	641	10	15	9615	961.5	8653.5	6410	2243.5	0.1	0.1
43125	Government	United States of America	VTT	High	2807	260	350	982450	98245	884205	729820	154385	0.1	0.1
43126	Small Business	Mexico	VTT	High	432	250	300	129600	12960	116640	108000	8640	0.1	0.1
43127	Small Business	United States of America	VTT	High	2294	250	300	688200	68820	619380	573500	45880	0.1	0.1
43128	Midmarket	France	VTT	High	2167	10	15	32505	3250.5	29254.5	21670	7584.5	0.1	0.1
43129	Enterprise	Canada	VTT	High	2529	120	125	316125	31612.5	284512.5	303480	-18967.5	0.1	0.1
43130	Government	Germany	VTT	High	1870	260	350	654500	65450	589050	486200	102850	0.1	0.1
43131	Enterprise	United States of America	Amarilla	High	579	120	125	72375	7237.5	65137.5	69480	-4342.5	0.1	0.1
43132	Government	Canada	Amarilla	High	2240	260	350	784000	78400	705600	582400	123200	0.1	0.1
43133	Small Business	United States of America	Amarilla	High	2993	250	300	897900	89790	808110	748250	59860	0.1	0.1
43134	Channel Partners	Canada	Amarilla	High	3520.5	3	12	42246	4224.6	38021.4	10561.5	27459.9	0.1	0.1
43135	Government	Mexico	Amarilla	High	2039	10	20	40780	4078	36702	20390	16312	0.1	0.1
43136	Channel Partners	Germany	Amarilla	High	2574	3	12	30888	3088.8	27799.2	7722	20077.2	0.1	0.1
43137	Government	Canada	Amarilla	High	707	260	350	247450	24745	222705	183820	38885	0.1	0.1
43138	Midmarket	France	Amarilla	High	2072	10	15	31080	3108	27972	20720	7252	0.1	0.1
43139	Small Business	France	Amarilla	High	853	250	300	255900	25590	230310	213250	17060	0.1	0.1
43140	Channel Partners	France	Carretera	High	1198	3	12	14376	1581.36	12794.64	3594	9200.64	0.11	0.11
43141	Government	France	Paseo	High	2532	5	7	17724	1949.64	15774.36	12660	3114.36	0.11	0.11
43142	Channel Partners	France	Paseo	High	1198	3	12	14376	1581.36	12794.64	3594	9200.64	0.11	0.11
43143	Midmarket	Canada	Velo	High	384	10	15	5760	633.6	5126.4	3840	1286.4	0.11	0.11
43144	Channel Partners	Germany	Velo	High	472	3	12	5664	623.04	5040.96	1416	3624.96	0.11	0.11
43145	Government	United States of America	VTT	High	1579	5	7	11053	1215.83	9837.17	7895	1942.17	0.11	0.11
43146	Channel Partners	Mexico	VTT	High	1005	3	12	12060	1326.6	10733.4	3015	7718.4	0.11	0.11
43147	Midmarket	United States of America	Amarilla	High	3199.5	10	15	47992.5	5279.175	42713.325	31995	10718.325	0.11	0.11
43148	Channel Partners	Germany	Amarilla	High	472	3	12	5664	623.04	5040.96	1416	3624.96	0.11	0.11
43149	Channel Partners	Canada	Carretera	High	1937	3	12	23244	2556.84	20687.16	5811	14876.16	0.11	0.11
43150	Government	Germany	Carretera	High	792	260	350	277200	30492	246708	205920	40788	0.11	0.11
43151	Small Business	Germany	Carretera	High	2811	250	300	843300	92763	750537	702750	47787	0.11	0.11
43152	Enterprise	France	Carretera	High	2441	120	125	305125	33563.75	271561.25	292920	-21358.75	0.11	0.11
43153	Midmarket	Canada	Carretera	High	1560	10	15	23400	2574	20826	15600	5226	0.11	0.11
43154	Government	Mexico	Carretera	High	2706	5	7	18942	2083.62	16858.38	13530	3328.38	0.11	0.11
43155	Government	Germany	Montana	High	766	260	350	268100	29491	238609	199160	39449	0.11	0.11
43156	Government	Germany	Montana	High	2992	10	20	59840	6582.4	53257.6	29920	23337.6	0.11	0.11
43157	Midmarket	Mexico	Montana	High	2157	10	15	32355	3559.05	28795.95	21570	7225.95	0.11	0.11
43158	Small Business	Canada	Paseo	High	873	250	300	261900	28809	233091	218250	14841	0.11	0.11
43159	Government	Mexico	Paseo	High	1122	10	20	22440	2468.4	19971.6	11220	8751.6	0.11	0.11
43160	Government	Canada	Paseo	High	2104.5	260	350	736575	81023.25	655551.75	547170	108381.75	0.11	0.11
43161	Channel Partners	Canada	Paseo	High	4026	3	12	48312	5314.32	42997.68	12078	30919.68	0.11	0.11
43162	Channel Partners	France	Paseo	High	2425.5	3	12	29106	3201.66	25904.34	7276.5	18627.84	0.11	0.11
43163	Government	Canada	Paseo	High	2394	10	20	47880	5266.8	42613.2	23940	18673.2	0.11	0.11
43164	Midmarket	Mexico	Paseo	High	1984	10	15	29760	3273.6	26486.4	19840	6646.4	0.11	0.11
43165	Enterprise	France	Paseo	High	2441	120	125	305125	33563.75	271561.25	292920	-21358.75	0.11	0.11
43166	Government	Germany	Paseo	High	2992	10	20	59840	6582.4	53257.6	29920	23337.6	0.11	0.11
43167	Small Business	Canada	Paseo	High	1366	250	300	409800	45078	364722	341500	23222	0.11	0.11
43168	Government	France	Velo	High	2805	10	20	56100	6171	49929	28050	21879	0.11	0.11
43169	Midmarket	Mexico	Velo	High	655	10	15	9825	1080.75	8744.25	6550	2194.25	0.11	0.11
43170	Government	Mexico	Velo	High	344	260	350	120400	13244	107156	89440	17716	0.11	0.11
43171	Government	Canada	Velo	High	1808	5	7	12656	1392.16	11263.84	9040	2223.84	0.11	0.11
43172	Channel Partners	France	VTT	High	1734	3	12	20808	2288.88	18519.12	5202	13317.12	0.11	0.11
43173	Enterprise	Mexico	VTT	High	554	120	125	69250	7617.5	61632.5	66480	-4847.5	0.11	0.11
43174	Government	Canada	VTT	High	2935	10	20	58700	6457	52243	29350	22893	0.11	0.11
43175	Enterprise	Germany	Amarilla	High	3165	120	125	395625	43518.75	352106.25	379800	-27693.75	0.11	0.11
43176	Government	Mexico	Amarilla	High	2629	10	20	52580	5783.8	46796.2	26290	20506.2	0.11	0.11
43177	Enterprise	France	Amarilla	High	1433	120	125	179125	19703.75	159421.25	171960	-12538.75	0.11	0.11
43178	Enterprise	Mexico	Amarilla	High	947	120	125	118375	13021.25	105353.75	113640	-8286.25	0.11	0.11
43179	Government	Mexico	Amarilla	High	344	260	350	120400	13244	107156	89440	17716	0.11	0.11
43180	Midmarket	Mexico	Amarilla	High	2157	10	15	32355	3559.05	28795.95	21570	7225.95	0.11	0.11
43181	Government	United States of America	Paseo	High	380	5	7	2660	292.6	2367.4	1900	467.4	0.11	0.11
43182	Government	Mexico	Carretera	High	886	260	350	310100	37212	272888	230360	42528	0.12	0.12
43183	Enterprise	Canada	Carretera	High	2416	120	125	302000	36240	265760	289920	-24160	0.12	0.12
43184	Enterprise	Mexico	Carretera	High	2156	120	125	269500	32340	237160	258720	-21560	0.12	0.12
43185	Midmarket	Canada	Carretera	High	2689	10	15	40335	4840.2	35494.8	26890	8604.8	0.12	0.12
43186	Midmarket	United States of America	Montana	High	677	10	15	10155	1218.6	8936.4	6770	2166.4	0.12	0.12
43187	Small Business	France	Montana	High	1773	250	300	531900	63828	468072	443250	24822	0.12	0.12
43188	Government	Mexico	Montana	High	2420	5	7	16940	2032.8	14907.2	12100	2807.2	0.12	0.12
43189	Government	Canada	Montana	High	2734	5	7	19138	2296.56	16841.44	13670	3171.44	0.12	0.12
43190	Government	Mexico	Montana	High	1715	10	20	34300	4116	30184	17150	13034	0.12	0.12
